domainc,domain,areac,area,elemc,elem,itemc,item,yearc,year,unit,value,Flag,Flagd
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1961,1961,ha,67860,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1961,1961,hg/ha,8089,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1961,1961,tonnes,54894,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1962,1962,ha,126088,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1962,1962,hg/ha,5264,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1962,1962,tonnes,66371,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1963,1963,ha,99446,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1963,1963,hg/ha,7452,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1963,1963,tonnes,74112,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1964,1964,ha,82338,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1964,1964,hg/ha,6484,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1964,1964,tonnes,53389,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1965,1965,ha,79405,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1965,1965,hg/ha,5963,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1965,1965,tonnes,47347,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1966,1966,ha,90815,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1966,1966,hg/ha,6165,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1966,1966,tonnes,55984,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1967,1967,ha,94752,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1967,1967,hg/ha,7185,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1967,1967,tonnes,68075,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1968,1968,ha,82140,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1968,1968,hg/ha,7531,Fc,Calculated data
